"sample","Time_start","flux_start","flux.CH4","R2.CH4","p.CH4","fDOY_end","file","flux_source","position","measurement_day_alt","month_alt","year_alt","measurement_day_actual","tag","t0","t1","t2","t3","directon","chamber","chamber_SA_cm2","soil_moisture","notes","measurement_day_altyr","avg_respT","campaign","species","ID_measurement"
"MD1",0.424722222222222,2024-04-12 12:04:00,7112.58582140707,0.999126297907755,5.66820552402998e-141,0.425763888888889,"f0005","m","mid","1/01/2002",1,"2002","05/16/2022",1,38.6,35.6,36.3,NA,"N","med",83.32,NA,"","/01/2002",36.8333333333333,"may22","Nasuti","MD1-1"
"MD1",0.427268518518518,2024-04-12 12:04:00,4943.03968256274,0.998117626042502,8.33192431956192e-126,0.428310185185185,"f0005","m","low","1/01/2002",1,"2002","05/16/2022",2,31.4,31.4,30.9,NA,"E","med",83.32,NA,"","/01/2002",31.2333333333333,"may22","Nasuti","MD1-2"
"MD1",0.429513888888889,2024-04-12 12:04:00,8710.45154626747,0.999852129491402,4.47578251652914e-176,0.430555555555556,"f0005","m","mid","1/01/2002",1,"2002","05/16/2022",3,33.3,33,34.2,NA,"S","med",83.32,NA,"","/01/2002",33.5,"may22","Nasuti","MD1-3"
"MD1",0.43224537037037,2024-04-12 12:04:00,4291.343658153,0.993929004539494,1.15039210239911e-102,0.433287037037037,"f0005","m","low","1/01/2002",1,"2002","05/16/2022",4,41.4,42.5,41.8,NA,"W","med",83.32,NA,"","/01/2002",41.9,"may22","Nasuti","MD1-4"
"MD1",31.4209490740741,2024-04-12 12:04:00,2156.54046051446,0.998564440184179,1.3872374800366e-132,31.4219907407407,"f0007","m","top","2/01/2002",2,"2002","05/16/2022",5,38.6,39.2,37.6,NA,"","med",83.32,NA,"","/01/2002",38.4666666666667,"may22","Nasuti","MD1-5"
"MD1",31.4247222222222,2024-04-12 12:04:00,100.816395593049,0.880926091040106,7.90284265374978e-44,31.4257638888889,"f0007","s","0","2/01/2002",2,"2002","05/16/2022",6,43.5,44.1,44.1,NA,"N","lg",183.85,NA,"","/01/2002",43.9,"may22","Nasuti","MD1-6"
"MD1",31.4268055555556,2024-04-12 12:04:00,7.95156005153,0.0560288406575879,0.0223488759697962,31.4278472222222,"f0007","s","1","2/01/2002",2,"2002","05/16/2022",7,42.9,43.6,43.2,NA,"N","lg",183.85,NA,"","/01/2002",43.2333333333333,"may22","Nasuti","MD1-7"
"MD1",31.4290162037037,2024-04-12 12:04:00,0,0,0,31.4300578703704,"f0007","s","2","2/01/2002",2,"2002","05/16/2022",8,43.9,45,45,NA,"N","lg",183.85,NA,"","/01/2002",44.6333333333333,"may22","Nasuti","MD1-8"
"MD10",334.420659722222,2024-04-12 15:01:00,4111.91423659021,0.999768062838927,5.32048014090525e-169,334.421701388889,"f0019","m","low","12/01/2002",12,"2002","05/17/2022",1,32,32.2,32.3,NA,"N","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.1666666666667,"may22","Ami","MD10-1"
"MD10",334.422858796296,2024-04-12 15:01:00,4034.77095723337,0.999197065191704,1.21436694890108e-142,334.423900462963,"f0019","m","mid","12/01/2002",12,"2002","05/17/2022",2,31.5,31.5,31.6,NA,"E","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",31.5333333333333,"may22","Ami","MD10-2"
"MD10",334.42494212963,2024-04-12 15:01:00,2352.40284675975,0.999596814724191,2.96328992029377e-156,334.425983796296,"f0019","m","low","12/01/2002",12,"2002","05/17/2022",3,31.1,31.2,31.3,NA,"S","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",31.2,"may22","Ami","MD10-3"
"MD10",334.427199074074,2024-04-12 15:01:00,3993.10220355445,0.998052127963954,3.95038829481196e-125,334.428240740741,"f0019","m","mid","12/01/2002",12,"2002","05/17/2022",4,31.9,32.2,32.3,NA,"W","med",83.32,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.1333333333333,"may22","Ami","MD10-4"
"MD10",334.429513888889,2024-04-12 15:01:00,-42.5328693896486,0.514177942235109,4.33509567854274e-16,334.430555555556,"f0019","s","0","12/01/2002",12,"2002","05/17/2022",5,32.5,32.2,32.2,NA,"N","lg",183.85,NA,"colony overtaken by ants, ant sample taken","/01/2002",32.3,"may22","Ami","MD10-5"
"MD10",334.431539351852,2024-04-12 15:01:00,13.8969738645423,0.155167653395709,9.36168489777052e-05,334.432581018519,"f0019","s","1","12/01/2002",12,"2002","05/17/2022",6,34.7,34.6,33.5,NA,"N","lg",183.85,NA,"colony overtaken by ants, ant sample taken","/01/2002",34.2666666666667,"may22","Ami","MD10-6"
"MD10",334.433969907407,2024-04-12 15:01:00,-34.0787843971658,0.408418287195387,5.44276888440201e-12,334.435011574074,"f0019","s","2","12/01/2002",12,"2002","05/17/2022",7,30.2,30.8,31.3,NA,"N","lg",183.85,NA,"colony overtaken by ants, ant sample taken","/01/2002",30.7666666666667,"may22","Ami","MD10-7"
"MD11",365.422280092593,2024-04-12 15:54:00,12694.1223775335,0.999458799835568,4.50241359907668e-152,365.423321759259,"f0020","m","mid","1/01/2003",1,"2003","05/17/2022",1,31.8,30.8,30.7,NA,"N","med",83.32,NA,"Extender","/01/2003",31.1,"may22","Nasuti","MD11-1"
